headline,short_description,category
Ohio Lawmakers Actually Reach A Bipartisan Deal To Try To Stop Gerrymandering,"It's not perfect, but reform advocates praised it as a good step forward.",POLITICS
How to Resist Temptation and Actually Stick to Your Health Goals,"The ability to overcome temptation and effectively say no is critical not only to your physical health, but also to maintaining a sense of well-being and control in your mental health.",WELLNESS
Justice Department To Georgia: Stop Treating Students With Disabilities As Separate And Unequal,"Georgia is unnecessarily segregating students with special needs, a lawsuit alleges.",POLITICS
Changing Names Doesn't Change History -- It Just Hides It,"It makes sense to remove the Confederate Flag from government space.  Though there are people who believe it stands for heritage and a unique Southern culture, that flag is also an active symbol of hate in today's world.  Ben Tillman and John Calhoun are not active symbols of hate.  Few today even know who they are.",WELLNESS
The Dark Side of Yoga,The way people approach life is the way people show up on their yoga mat. And yoga teachers are no exception. Some yoga teachers may lead with a sense of aggression and competition while others will promote a feeling of safety and peace.,WELLNESS
The Hard Truth All Parents Of Teenagers Understand,"This article first appeared on QuietRev.com I don’t see you much anymore. And when I do, it’s in passing, and mostly through",PARENTING
Child Care Unaffordable For Low-Income Families (INFOGRAPHIC),"Child care costs have risen in recent years while the federal minimum wage has not. In most states, a single parent working",PARENTING
The Best Places in the World to Have a Child!,It is ironic that the individuals who champion family values and cry it from mountain tops left and right (mostly right) are the ones that are conspicuously absent when it comes to providing families with such an important provision as a decent parental leave.,PARENTING
"How Does Wilson Fire Six Shots, While Getting Beaten, Without Gunshot Residue On Michael Brown?","What if Brown was pretending to charge after taunting verbally, in an arrogant act of defiance, with the intent of pulling back? What if Brown was running, but quickly turned back to surrender, and Wilson mistook that for charging, what then?",POLITICS
Bernie Sanders Slow-Clapping Donald Trump Is Your New Favorite Meme,"""Bernie clapping like Slytherin just won the house cup.""",ENTERTAINMENT
When Is it Good to Have a Few Close Friends?,What kind of friends do you have? Have you got a few people in your life that you spend a lot of time with? Have you got a larger number of acquaintances that you see on occasion? Which is better?,WELLNESS
Girl Meets World' May Get A New Season With A New Network,It's not over yet!,ENTERTAINMENT
"Online Dating: Lessons Learned and Why ""Love It Naughty"" Has Nothing on Me","""My name is Amy. And I'm an online dating fibber."" When I filled in my application, I wrote my age from four years earlier. It wasn't as bad as one woman I know who, after fibbing about her age, weight, and hair color wrote that what she's looking for in a man is ""honesty.""",STYLE & BEAUTY
Nonstop Complaints? All Part of the GOP Strategy,nan,POLITICS
Surgeons' Brains Must Work Harder When Sleep-Deprived: Study,"The researchers conducted several tests with them, where they were required to do simulated tasks on the virtual reality",HEALTHY LIVING
Two Faces of Grace,"The horrific face of grace can fill us with dread and fear when it appears, but if we are willing to welcome it -- as we welcome the good news of the grace of bounty -- it too brings us home.",WELLNESS
Joe Biden Says He 'Can't Picture' U.S. Troops Being In Afghanistan In 2022,"The president doubled down on his promise to end America's longest-running war at a Thursday press conference, though he said a May 1 deadline seemed unlikely.",POLITICS
Donald Trump Booed During Debate Spat With Jeb Bush,"“Let me just tell you this. Jeb is so wrong.""",POLITICS
"Marco Rubio To Attend GOP Convention, Support Guy He Called A 'Con Man'",Sad!,POLITICS
Scandal' Assassination Twist Makes It Clear Why ABC Delayed Premiere,"A network exec acknowledged a ""weird similarity"" to real-life politics, but said the storyline was entirely fictional.",ENTERTAINMENT
Don't Dread the Holiday Visit to Your Family: Give Yourself the Gift of Sleep,"Instead of seven swans a-swimming or eight maids a-milking, wouldn't you just be happy to have seven to eight hours of sleep a night while visiting family or friends this holiday season?",WELLNESS
"Memo To EPA Chief Pruitt: Let's End Subsidies For Fossil Fuels, Not Renewables","Government handouts for coal, oil and gas dwarf those for wind and solar.",POLITICS
Story-Busting,"When we acknowledge that everyone experiences pain, that every person struggles with difficult issues, and that most everyone is making up stories too, we can let go of comparing and contrasting and simply see us as all in this together.",WELLNESS
Pop-Up in the Rainforest:  World Class Surf School in Brazil,"Our lead instructor Thiago, with ever-inspiring enthusiasm, draws spirals in the sand with his foot, and makes us--like a",TRAVEL
Jessica Biel's Amazing Look Proves That Married Life Agrees With Her (PHOTO),"Well hello, Mrs. Timberlake!",STYLE & BEAUTY
5 Olympic Hosting Hopefuls That Never Made The Cut (PHOTOS),Hosting the Olympic Games is a prestigious honor that cities around the world compete for with the ferocity of world-class,TRAVEL
"Greece's Rock-Pinnacle Churches: Suspended in Mid-Air on the Looney Front, Part I","The red-roofed complexes with their Byzantine churches in their lofty aeries are indeed pretty, but it's their incredible perches atop the pinnacles that make the place -- and not the hordes upon hordes of tourists taking selfies.",TRAVEL
THE WILDCATTERS: How Much Confidence Should We Have in the Polls?,"The Wildcatters are trying to develop our final election predictions, tweaking the Little Smart Pill Machine and trying to",POLITICS
Istanbul's Grand Bazaar Hums Along,I enjoyed updating our Istanbul guidebook's Grand Bazaar chapter. While the main streets of the vast market are jam-packed,TRAVEL
Michael Strahan Going Into Space Next Month On Blue Origin Flight,"“I want to go to space,” Strahan told “Good Morning America.” “I think being there at the first launch, it really was mind-blowing.”",ENTERTAINMENT
Activists Burn Confederate Flag In Response To South Carolina Shootings,nan,POLITICS
Russia Gets A Pass In Trump's State Of The Union Speech,The president did not mention investigations into Russia's role in the 2016 U.S. election or Russian meddling in Ukraine and Syria.,POLITICS
The Quest to Slay Bad Breath!,I've been away from blogging for a few months because I've been on an important quest -- to help get rid of bad breath once and for all. And I want to tell you a little about what I found in my journeys.,WELLNESS
U.S. Judge Halts Deportation Of Nearly 200 Iraqi Immigrants,Judge Mark Goldsmith said the individuals could be targeted for attacks in Iraq.,POLITICS
What America Does Trump See?,"Charlottesville, Houston, the Border Wall, Human Rights, Women’s Clinics, Poverty, Wealth, Education, Illiteracy, Homelessness",POLITICS
Chris Murphy Says Congress’ Silence On Mass Shootings Is ‘Quiet Endorsement',The Connecticut senator wants action on gun control legislation.,POLITICS
Should You Try Running Backward?,"My fad-loving workout partner recently started running backward, saying it was easier on his knees than running normally",WELLNESS
This Star-Studded 'Carpool Karaoke' Will Definitely Get You In The Holiday Mood,"James Corden gets festive with Miley Cyrus, Usher, Bruno Mars, Ed Sheeran and more...",ENTERTAINMENT
City Makes Bizarre Public Bus Ban,nan,POLITICS
Milan Fashion Week Backstage Beauty: Color-Block Neoprene Eye Makeup At Fendi Spring 2013 (PHOTO),Karl Lagerfeld and Silvia Venturini Fendi ignited a geometric explosion at the Fendi spring 2013 show when they sent models,STYLE & BEAUTY
Khloe Kardashian And Lamar Odom Have Officially Signed Their Divorce Papers,The two should be legally single by December.,ENTERTAINMENT
What Do You Mean I Have to Give a Speech?,"The fear of public speaking is one that plagues many.  However, more and more of us are expected, or even required, to do it on a regular basis.  Here are some relatively simple tips that can make the process a little easier.",WELLNESS
Day Spa Deal Breakers: 10 Things That Gross Us Out (PHOTOS),"Too many estheticians for a single treatment. Not only is this unsanitary, but it makes tipping quite complicated. Stained",STYLE & BEAUTY
All the Wrong Stuff,"Today I have made a career out of my highly sensitiveness, the introvert, the freedom seeker, my spiritual depth, my humor",WELLNESS
The Ultimate List Of Cheap Vacation Resources,nan,TRAVEL
The Most Popular Jacket Of 2013 Came From H&M,Toni Acosta Rana Beckerman Here's where it came from: Freida Pinto Shay Mitchell Hannah Bronfman Best of all? It suited real,STYLE & BEAUTY
What If Trump Wins On Obamacare And Taxes?,"Trump is screwing not just the rest of America, but tens of millions of people who voted for him.",POLITICS
What I Know About Being an Attachment Parent,"It seems as though a healthy moderate version of parenting -- where our shame about our bodies and our sexuality, our traumas and our resistances to connection are addressed -- is where most of us, ultimately, really want to fall.",PARENTING
Redefining Success -- Lessons From Arianna Huffington's Thrive,"Millennials grew up attached to technology, wired 24/7, but Huffington's honest and fundamental perspective provides us a window of reflection into something that is often neglected -- to bring attention on the topic of our well-being.",WELLNESS
"New Mom's Uncensored Photos Reveal The Beautiful, Messy Reality Of Home Birth","Her goal, she told HuffPost, was to show ""my unique experience, whether attractive or not and just to be honest about it",PARENTING
Ellen DeGeneres Ridicules Eric Trump Over His Weird Conspiracy Theory About Her,"""It’s just the craziest thing I’ve seen all week, because I saw that movie with the lady having sex with the fish and still this beats that.""",ENTERTAINMENT
Donald Trump Considers Another Anti-Muslim Conspiracy Theorist For His Team,The president-elect is going all-in on paranoia.,POLITICS
What Do Naked Ladies Have to Do With Writing and Your Life?,"Like the lily, writing and our innermost desires need to have a quiet interlude between the leaves in spring and the eventual summer blooming of flowers.",WELLNESS
Self-Sufficient Yogi?,"As I rested, I thought about what Andrew had said -- how we must take the time to practice self-care -- and how I must allow the effort of being a stubborn, self-sufficient yogi to dissolve into openness and surrender. This work -- on the mat, resting, in a roomful of people -- can ignite profound change.",WELLNESS
Here's Who Went To A Top-Secret Meeting Of America's Most Powerful People,"The American Enterprise Institute forum brought together a bunch of really rich, really powerful people.",POLITICS
"Chewing Gum Doesn't Lead to Weight Loss, Study Suggests","Prior to playing the game, half of the participants chewed either Juicy Fruit gum or Wrigley's Spearmint gum. But despite",WELLNESS
A Third Way Plan for Immigration: More and Less,"Is there a way of making those who employ undocumented workers, or those with dubious papers, from falling into unintended criminality themselves? Is there a ""third way?""",POLITICS
Healing and the Power of Yoga,"I am grateful to be part of this ever-unfolding ancient healing path, and pleased to see these tools being incorporated into contemporary medical thought. Like two wings of a bird, these old and new approaches balance and support us in achieving the health and well-being we seek.",WELLNESS
Governor Scott Walker: Three Strikes and You're In,"That's right, short-term Republican presidential front runner, Governor Scott Walker, now has a decision to make. Does he want to be on the bottom of the 2016 Republican presidential ticket? Those are the stakes for Governor Walker for the Wisconsin Republican primary on April 5.",POLITICS
Bipartisan Group Of Senators Push For Deal To End Government Shutdown,"It's not looking good, though.",POLITICS
"Adventures of a Lady in Rock: Body Knows Best, Part II",I've been gluten-free and mostly dairy-free ever since I walked into my nutritionist's office in 2010 begging her to fix my constant stomach problems. Staying the course on tour is no small feat.,WELLNESS
Congresswoman Moves To Protect Senate Pages From Accused Molester Roy Moore,Rep. Gwen Moore is worried about the Senate's teenage interns if he wins election.,POLITICS
The Day I Became Older Than My Mother,"Becoming older than a parent can be a troubling transition. At the most base, mathematical level, it's hard to comprehend how they can still be your parent if you are older than they ever were.",PARENTING
"Monday's Morning Email: “I Am The Devil"" -- How Charles Manson Mesmerized America",The cult leader was 83.,ENTERTAINMENT
"Fear Mongering, Because It's All They Have Left","Instead of constantly condemning, I would like to know what the GOP plans to do. Besides a travel ban which many experts believe would hamper efforts to contain the virus where it started, I have seen no solutions from Republicans to either of these crises.",HEALTHY LIVING
"Dear Disney, Please Cast These Undiscovered Teens As Your Next Princess",nan,ENTERTAINMENT
Alan Thicke's Wife Says She Feels 'Gut-Wrenching Sadness' After His Death,The actor died last week after suffering a heart attack.,ENTERTAINMENT
HUFFPOLLSTER: 2016 Could Be The Year Of The Third Parties,Dissatisfied voters are looking for alternatives beyond Donald Trump or Hillary Clinton.,POLITICS
Report: John McCain Tells Son-In-Law To 'Take Care Of Meghan',The six-term senator is back home after his latest surgery.,POLITICS
Michael B. Jordan Recalls Prejudiced Remarks From Fans After Kendall Jenner Dating Rumors,"""They see white and black. I don't.""",ENTERTAINMENT
Is Changing The Constitution The Only Way To Fix Washington?,"At a 2011 conference, Harvard Law School Professor Laurence Tribe listed many of the questions about a convention that Article",POLITICS
Returning the Favor: Learning to Love Our Parents Unconditionally,"My mother was more likely to break an arm chasing after us (which she did) than receive the embrace of a loving son. But the more I thought about it, the more I realized that my upbringing wasn't the reason my love for her came with conditions.",PARENTING
Violent Video Games May Be Tied To Aggressive Thoughts (STUDY),"When researchers ask kids to report their own feelings and actions over time, certain kids may be more likely to admit to",HEALTHY LIVING
A Parent's Predicament: Does Winning at Work Mean Losing at Home?,Does having a child mean that a parent needs to pass on a promotion -- or give up time with a child in order to advance his or her career?,PARENTING
"Deadliest Catch' Captain Sig Hansen: 'Every Time We Leave The Dock With A Full Load Of Pots, I'm Afraid'","How did you have that ego change? I think the ego change came not just with the responsibility, but over time. Because when",ENTERTAINMENT
Amazon Completely Deflects Questions About Woody Allen Allegations,"You could've done better than that, Amazon.",ENTERTAINMENT
What Climate Advocates Want From The First Democratic Primary Debate,"Specifics, specifics, specifics.",POLITICS
Most U.S. Troops Kicked Out For Misconduct Had Mental Illness,The new report will likely add to scrutiny over whether the military is doing enough to care for troops with mental health issues,HEALTHY LIVING
Buddha's Simple Truth,"Buddha's own simple truth was that nirvana is right here and now. It is within each of you. And it is up to you to uncover it and live it in the present moment, not through the layers and rituals that different men and women have added, but through what should be very simple teachings.",WELLNESS
Obama Underwear vs. Romney Underwear: Which Sells Best? (PHOTOS),Pro-Obama underwear vs. pro-Romney underwear: which candidate sells more skivvies?,ENTERTAINMENT
Brian Dunkleman Returns To The 'American Idol' Stage For The Series Finale,"Welcome back, Brian. And, uh, farewell?",ENTERTAINMENT
Marco Rubio Tries To Salvage His Campaign With Laughter,"A rabbi, a priest and a Republican presidential candidate walk into a bar...",POLITICS
U.S. Hits Record Coronavirus Deaths In A Single Day — Again,"Over 4,400 people were reported dead from COVID-19 across the nation on Tuesday — the highest daily death toll since the pandemic began.",POLITICS
10 Things You Didn't Know About Following Your Dreams,"I've learnt more since I quit my nine-to-five job to start my own business than in 10 years working in public relations. Like most entrepreneurs, I am an autodidact. I also surrounded myself with smart, successful people and learn as much as I can from them. Following my dreams has been a lesson in growth. Here are my top 10 life altering realizations",WELLNESS
Why Your Therapist Should Go 'Back to the Future',"That is, most therapists today recognize the significance of interpersonal and relationship issues that those three contributed",WELLNESS
Wardrobe Malfunctions Photos: See This Week's Almost-Dangerous Outfits (PHOTOS),Let's just say that J.Lo might want to wear a catsuit with a little more fabric next time.,STYLE & BEAUTY
