headline,short_description,category
Sean Spicer Responds To Jimmy Kimmel's Emotional Plea With Lame GOP Talking Points,Come on.,ENTERTAINMENT
Your Weekly Travel Zen: Maine,nan,TRAVEL
Mexico City Legislature Declares Donald Trump 'Persona Non Grata',The legislative assembly wants President Enrique Peña Nieto to wring an apology out of the GOP nominee.,POLITICS
"The Sundance Interviews: David Cross and the Cast of His Film, Hits, Mount an Impov in Lieu of an Interview","David Cross's film, Hits, is a dark comedy exploring the nature of fame in 21st Century YouTube America. Cross brought a big chunk of his cast to the studio, and to say I lost control of this interview is to imply that I ever had it. It was, however, some of the most fun I had all week.",ENTERTAINMENT
The Travel Industry Loses Its Way In A Blizzard,"As the snow falls today, maybe in a quiet moment, the managers who create and enforce these draconian policies should ask themselves: Why don't we do this more often? Why don't we show our customers a little more compassion?",TRAVEL
Kendrick Lamar's 'Alright' Chanted At Trump Chicago Protest,Lamar's song has become an anthem for those protesting racism and oppression.,POLITICS
Is Life Unfair?,The world is neither fair nor unfair. Everybody is in pursuit of their happiness. It is your business to learn and pursue what is yours.,WELLNESS
"Sally Field Doesn't Know How To Strike A Pose In This Extended 'Hello, My Name Is Doris' Scene",But she figures it out.,ENTERTAINMENT
"Psychiatrists Say DSM Needs Overhaul, Should Be Re-Thought","""SIMPLY NOT USABLE"" ""Numerous dangerous suggestions remain, Frances, who chaired a committee overseeing the DSM 4, said, adding",HEALTHY LIVING
"Adam Kinzinger Calls Gun Age Limits 'A No-Brainer,' Considers Assault Weapon Ban","“Can we stop all of it? No. Can we mitigate it? Certainly. And we should be doing that now,"" the Illinois Republican said of gun violence following last week's mass shooting.",POLITICS
Oversampling Is Not A Nefarious Democratic Plot,It's a technique commonly used by pollsters -- including Trump's campaign manager.,POLITICS
John Stamos Opens Up About Impregnating A Mystery Woman In His 20s,"Also, where to find his sex tapes.",ENTERTAINMENT
MTV's Catfish: The Digital Pen-Pal Syndrome,"It doesn't surprise me that singles looking for love online on MTV's Catfish have their hopes at an all-time high, but I wonder, why wait so long to meet in real life if you think you've found your soul mate?",ENTERTAINMENT
"Biden, Trump Warn Of High Stakes For Georgia Senate Runoffs","On the eve of the vote that will determine control of the Senate, the two leaders campaigned in the state and urged constituents to cast their ballots.",POLITICS
Tassel Loafers Are A Must-Have Addition To Womens' Arsenal Of Flats This Fall (PHOTOS),"Flats are an important part of any woman's shoe collection. While heels look lovely, we all know that running around town",STYLE & BEAUTY
Can't Get No Satisfaction: Ask Noah,"Instead of panicking about a state you have not yet achieved, I urge you to live in the magic of the moment. Do not let thoughts about where you could have been, should have been, or need to be dominate your psyche.",WELLNESS
Melisandre Proves She's An Even Worse House Guest Than Jon Snow,Awkwardness is coming.,ENTERTAINMENT
"'Iron Man 3' Footage: Comic-Con Crowd Treated To Impressive Clips, Joking Robert Downey Jr.","Further footage shown revealed Stark on an operating table, followed by a closeup of a damaged Iron Man helmet. In another",ENTERTAINMENT
Rudy Giuliani Wanted To Move On From The Trump Tape. Chuck Todd Wouldn't Let Him.,"The ""Meet the Press"" host seems to be just as sickened by Trump as everyone else.",POLITICS
"McDonald's And Subway Nutrition Can Be Equally Bad For Teens, Study Finds","Subway may seem like a healthier fast food option than McDonald's, but a recent study suggests that teenagers often consume",HEALTH & WELLNESS
Jeff Goldblum Says He Was Almost The Voice Of Apple,Could you imagine if Siri was Goldblum?!,ENTERTAINMENT
Trump Issues Tepid Response to Chilling Nazi Salutes In His Honor,"His transition team releases a brief statement ""to denounce racism of any kind.""",POLITICS
Military Must Impose Significant Consequences Against Marines United Group Members,The scandal vividly demonstrates that some believe they are above the law when it comes to the harassment of women.,POLITICS
Killer Asbestos,nan,HEALTHY LIVING
Woman Convicted After Laughing At Jeff Sessions Asks Judge To Toss Jury Verdict,"Desiree Fairooz’s ""brief reflective burst of noise, be it laughter or an audible gasp, clearly cannot sustain a conviction,"" her lawyer writes.",POLITICS
Into the Light: The Season for Seasonal Affective Disorder Is Real,"I don't live in Florida or Rjuka, and I have not the time or inclination to erect giant mirrors on Willis Tower. But I am going to proactive. I will be making do right here and staring into the light for hopefully a happy winter.",WELLNESS
A Tale Of Two Staceys: Georgia Governor’s Race Highlights Democratic Party Divisions,"A year and a half before the general election, a primary is raising tough questions for progressive activists.",POLITICS
Now This Is A Bridge We'd Like To Cross,"Enter the ""Mobius"" bridge that's proposed for the Dragon King Harbor River development in Changsha, China. The Dutch firm",TRAVEL
U.S. Airports That Are 'Likely' To Influence The Spread Of Pandemics (PHOTOS),"Medical Daily reports that JFK is an important hub because it not only feeds a large base of people in New York, but it offers",HEALTHY LIVING
Eating 7 Or More Daily Portions Of Produce Could Reduce Premature Death Risk,"In a related editorial, experts from the Institute of Psychology, Health & Society at the University of Liverpool noted that",HEALTHY LIVING
Stocks Dive For Truth Social SPAC Amid Merger Delay,It's one thing after another for Donald Trump's problem-plagued Truth Social.,POLITICS
Feel-Good Fitness,"There's nothing wrong with wanting to look good, but how you look is just part of the bigger picture of your overall wellbeing.",WELLNESS
Ted Cruz's Campaign Manager Says Christie 'Turned Over His Political Testicles',Why has genitalia come up so many times during this campaign?,POLITICS
"My ""Love Em or Leave Em"" Valentine's Day Gift Guide!","Just when you were making a dent in your credit card bills from the holidays, here comes Valentine's Day.",STYLE & BEAUTY
Why Astronauts Struggle To Get A Good Night's Sleep,"Sleep is an intimate part of our lives, and the crew has been generous enough to donate data on theirs to help me answer",WELLNESS
Another Trumpian Senate Contender Links Obama To Orlando Shooting,“I think we need to have hearings on this. I think people need to be held accountable.”,POLITICS
Curfew In Effect For Second Night In Ferguson As Protests Continue,nan,POLITICS
Omarosa Manigault Newman Resigns From White House,"""We wish her the best in future endeavors.""",POLITICS
Senate Passes Budget Blueprint Key To Trump Tax Effort,The measure would add up to $1.5 trillion to the federal deficit over the next decade to pay for proposed tax cuts.,POLITICS
Fashion's Night Out 2012 Promoted By Taylor Swift & Justin Bieber (VIDEO),"See highlights from Fashion's Night Out 2011: WATCH: In the new promo, Swift and the Biebs remind us that FNO means late",STYLE & BEAUTY
"Chanel Gardenia, Diptyque Rose And More: 5 Fragrances That Smell The Way They Should","When you hear fragrance names like ""Someday"" or ""Unbreakable Bond,"" wrapping your head around what the scent may actually",STYLE & BEAUTY
Liu Wen Shines For Chopard In Cannes: Look Of The Day,"WHERE: The Chopard ""Mystery Party"" at the Cannes Film Festival on May 21st. WHAT: The Victoria's Secret Angel looked stunning",ENTERTAINMENT
In the Face of Change,Life is full of change and uncertainty. We know this. We experience it on a daily basis. Sometimes it is unbelievably hard to sit in the discomfort of change and not knowing. But how very powerful to allow ourselves to rest and soften when we feel the triggers of that tension.,WELLNESS
Watch Tom Hiddleston Play Hank Williams Covers At A Music Festival,nan,ENTERTAINMENT
Men Feel More Attractive Right After Their Baby Is Born (STUDY),The researchers speculated as to why new babies make dads feel good about their appearance while the opposite is true for,PARENTING
"Veteran Character Actor Ed Asner, 'Mary Tyler Moore' Star, Dies At 91","During his career, Asner won seven Emmys and five Golden Globes and served two terms as president of the Screen Actors Guild.",ENTERTAINMENT
To The Woman Who Said She Wouldn’t Date Me Because I’m On The Autism Spectrum,You seemed really genuine and sweet. But then things changed.,WELLNESS
Obama Found Donald Trump's Sexual Assault Boasts 'Repugnant',Just like all of us.,POLITICS
Tom Hanks Blasts Trump For Attacking The Media,"""We're not the United States without the First Amendment,"" says the actor.",POLITICS
"Everyone Knows Obesity Is Hurting Us, But Is the Fight Against Obesity the Problem?","Does it ever seem like you're hearing the same things about weight over and over? Witnessing the depressing cycle of failed public initiatives and fruitless personal efforts to trim our waistlines, who wouldn't wish for a more hopeful angle or some alternative facts on the old story?",WELLNESS
5 Outrageous Honeymoon Suites (PHOTOS),"When the last sparkler has gone out, the wedding's over. For most people anyway. For the bride and groom it may just be beginning.",TRAVEL
Bobby Moynihan Reveals 'SNL' Characters May Be Related,nan,ENTERTAINMENT
Sarah Byrne's GPS Guide For Happiness,Find your bliss.,WELLNESS
Child Brides Join Push To Raise Marriage Age,"A number of states are considering bills that would raise the age to get married, with sponsors hoping to protect girls from",PARENTING
Board-Free Family Fun: 3 Games to Play Over the Holidays,"No matter what holiday you're celebrating, there comes a time when the family gathering runs out of steam. While you may be tempted to head out to a movie or -- if you're me -- continue to graze until there's no food left in the house, there's an alternative: Play!",PARENTING
5 Tips for Creating Sacred Space,"Take a few minutes to bring peacefulness and healing into your home by creating sacred space. It's not hard to do and has immense rewards. If you already have a sacred space, I'd love to hear about it. If I've inspired you to create one, I'd love to know how you made it meaningful to you.",WELLNESS
5 Indefensible Tweets From The NRA Since The Oregon Gun Massacre,"After a mass shooting, the NRA traditionally goes silent for a period of time. In the case of the gun massacre in Oregon",POLITICS
"'A Good Day To Die Hard' Reviews, Nataly Dawn's 'How I Knew Her,' 'Beautiful Creatures' Reviews and More: The Week In Ouch","This week marked the release of ""A Good Day to Die Hard,"" the latest installment in the ""Die Hard"" franchise. The Bruce Willis",ENTERTAINMENT
Hugh Jackman Could Be Our Next 007,"The ""Pan"" star would ""seriously consider"" the role.",ENTERTAINMENT
5 Years Ago Today Trump Offered $5 Million For Obama's College Records,Looking back at the racist insanity of birtherism.,POLITICS
Obama Tells Drug-Offense Inmates He Could Have Been In Their Place,The president also promised to reform the criminal justice system during his visit to a federal prison in Oklahoma.,POLITICS
'Star Wars 1313': Take A Sneak Peek At The New Game (PHOTO),"Earlier today we reported on the newly announced Star Wars 1313, a new game from LucasArts that promises to take gamers into",ENTERTAINMENT
A Northern Indian Road Trip Becomes A Cultural Buffet,"The streets were clogged with traffic, brightly painted trucks, rickshaws and regal looking camels pulling wagons full of grain.",TRAVEL
Civil Rights Group Wants To Know If DOJ And Trump Voter Fraud Probe Are Working Together,The timing of two letters sent from the department and the commission raised eyebrows.,POLITICS
Two-Thirds Of Parents Don't Follow Doctors' Orders (POLL),"""Parents need to ask for clarification if they are unsure about what the provider is saying, or why it's important,"" said",PARENTING
Cleveland Reaches Settlement With Justice Department Over Police Conduct,nan,POLITICS
Is It Really an Ear Infection?,"Fortunately the majority of children recover from ear infections without any intervention. But about 20-30 percent of the time, they need help fighting the infection.",HEALTHY LIVING
Trump Terrible 10: Total And Complete Disgrace Edition,Ranking the worst of the Trump administration over the past week.,POLITICS
Summer Camp With the Marriott Family,We've been very blessed to spend our summers on Lake Winnipesaukee in New Hampshire for many years.  It all started back in 1942 when I attended Camp Idlewild on Lake Winnipesaukee.  I was 10 years old and anxious to get out of the hot summer heat.,TRAVEL
Yom Kippur: How To Have A Safe And Healthy Fast,"Of course, fasting on Yom Kippur is not supposed to be comfortable. But there are a few ways to make the fast a little bit",WELLNESS
Brad Pitt Bids Six Figures To Watch 'Game Of Thrones' With Emilia Clarke,"Kit Harington joined in too, all for charity!",ENTERTAINMENT
The Biggest Loser's Jillian Michaels: 'I Really Dislike Working Out',"The Biggest Loser trainer Jillian Michaels' body is so bangin', she must love hitting the gym -- right? Wrong. Read more",WELLNESS
Vanna White Drags A Present In Hilarious 'Wheel Of Fortune' Fail,"Merry Christmas, Internet.",ENTERTAINMENT
Urban Legends Of Your Digestive Tract,"We all love a good urban legend, and it can be especially fun when they turn out to be true. An elderly patient with gastroparesis",HEALTHY LIVING
Stop Everything: A 'Beauty And The Beast'-Themed Cruise Is Happening,You can sail to Belle's hometown! 😍,STYLE & BEAUTY
"Think Leslie Jones Can't Play Donald Trump? You're Wrong, Bigly.",“It’s about giving America what it wants.”,ENTERTAINMENT
"Perhaps Obama Is The Real Racist, Says Congressman Backing Trump",[head-exploding gif],POLITICS
Bloomberg: Why Obama Is Wrong And Elizabeth Warren Is Right On Trade Bill Dispute,nan,POLITICS
What the Supreme Court's Birth Control Case Means for Anti-Discrimination Laws,"Those who care about anti-discrimination laws in general, and the rights of LGBT individuals in particular, have much to be concerned about Monday's ruling by the Supreme Court in Burwell v. Hobby Lobby.",POLITICS
Hilarious Map Proves That Every City Is The Same Damn Place,"Do you live near the ""ugly bridge everyone hates?""",ENTERTAINMENT
Trade Enforcement Failure,President after president has promised that the U.S. will compel foreign nations to meet labor standards established in free-trade agreements. They haven't. They probably can't. And American workers and politicians should stop buying it. The U.S. can sign trade agreements with countries after they stop murdering trade unionists and countenancing child labor.,POLITICS
George Pataki Drops Out Of 2016 Presidential Race,The former governor of New York never made it to the main stage during any of the GOP presidential debates.,POLITICS
In Venezuela: It's Time to Consider New Options,There is one direct approach to Caracas immediately available. The administration should challenge Maduro to restore normal diplomatic relations. The US and Venezuela have not exchanged ambassadors since 2010.,POLITICS
"News Roundup for June 12, 2017","Neeeews. 1. Puerto Rico voted in favor of US statehood. However, the historically low turnout rate points to a disinterest",POLITICS
HuffPost Headline Quiz: June 23 to June 29,Ready for a challenge?,ENTERTAINMENT
21 Eureka Moments That Only Runners Have,"Eureka moments of genius are common to runners. They happen mid-run as a result of fatigue, high endorphins, low cortisol, self-righteousness, and a groovy ""one-with-naturedness"" that would make Ralph Waldo Emerson envious.",WELLNESS
Are We Ruining Our Children's Psyches With Copious Digital Photos? (No.),Have you ever met any babies? They're so completely self-involved. Everything is about them -- their wants and their needs,PARENTING
Hillary Clinton Responds To 'Gender Card' Dig: 'Mitch McConnell Really Doesn't Get It',"""These aren’t just women’s issues, they are economic issues that affect all Americans.""",POLITICS
Republicans' Risky New Idea: Vote For Awful Repeal Bill And Hope Others Fix It,"“Seriously, this is weapons grade bonkers.""",POLITICS
Rick Steve's Roadtrip: Salt Lake City's Evangelical Librarians,"e twin ranges, reaching out to surround the Utah State Capitol and an ensemble of stately church buildings, remind me of a vast geological answer to the Bernini colonnades.",TRAVEL
We Travel With Our Own Germs,nan,TRAVEL
Transgender Americans Can Now Fight And Die For A Country That Doesn't Protect Them At Home,There is still no federal law barring workplace discrimination on the basis of sexual orientation and gender identity.,POLITICS
Letterman And George Clooney Eat Hamburgers In New Netflix Special,"It’s only his second Netflix special, but David Letterman’s new edition of (deep breath now) “My Next Guest Needs No Introduction",ENTERTAINMENT
"Olivia Wilde On Going Vegan, Alicia Silverstone's Cooking And DIY-ing (PHOTOS)",Want more? Take a peek in our gallery below to see photos of Olivia Wilde celebrating her collaboration with Alternative,STYLE & BEAUTY
5 Spectacular April Getaways,"April is shoulder season for many North American destinations, so this can also be a wonderfully affordable time for a carpe diem-inspired break. Here are five great family destinations that beckon in April.",TRAVEL
"Justin Bieber, One Direction And More Sing 'Joy To The World' In Latest 'Carpool Karaoke' With James Corden",Merry Christmas to us!,ENTERTAINMENT
Thousands Of Toddlers Are Medicated For A.D.H.D.,nan,PARENTING
Lady Gaga Reveals Captivating Italian Accent In 'House Of Gucci' Trailer,"The hotly anticipated crime drama, which also stars Adam Driver and Jared Leto, hits theaters on Nov. 24.",ENTERTAINMENT
'Alice In Wonderland' Sequel: Disney Confirms Screenplay For New 'Alice' Film,"Tim Burton’s wily, psychedelic Alice In Wonderland is getting a sequel, and the original film’s screenwriter is penning it",ENTERTAINMENT
Top 5 Cheapest Greek Island Escapes (PHOTOS),"Beautiful white sand beaches mirrored by whitewashed houses lined along the mountainside, the breathtaking Greek Islands are everything you expect and more. And with prices dramatically down this year, why not experience the mystical beauty which has captured the hearts of all who visit since the time of the Gods?",TRAVEL
Los Angeles Teachers Set To Begin Massive Strike On Monday,The outcome of the union fight could help determine the future of Democratic Party politics.,POLITICS
Bad Days Happen: Don’t Let Them Ruin Your Momentum.,"Sometimes you might see it coming. You’ve got things to do that you simply don’t want to do. You know you have to, so you",WELLNESS
"Obama: U.S. Airstrikes, Aid In Iraq Continues With No Set 'Timetable'",nan,POLITICS
Lack Of Sound On Chicago Shooting Tapes Raises New Suspicions,"""I've never heard of it before,"" one expert said. ""It raises a red flag.""",POLITICS
Republicans' Obamacare Suit Won't Succeed,"The cynicism of Republican legislators has reached new heights with the upcoming Supreme Court  lawsuit against Obamacare subsidies with hearings that began Wednesday.  Because their lawsuit won't succeed, just as the more than 50 other attempts to block Obamacare haven't succeeded.",POLITICS
13 Mental Health Benefits Of Exercise,11. Get More Done Feeling uninspired in the cubicle? The solution might be just a short walk or jog away. Research shows,WELLNESS
"The Diamond Cliffs, Brazil's Gem of a National Park: Brazilian Briefs on the Looney Front, Part 2","I'm flat on my belly, atop a perpendicular cliff, 280 feet above a gaping void, in the wilds of north-eastern Brazil, inching forward like a demented caterpillar, ever closer to my personal Armageddon, my every limb tingling with vertigo, just to catch a glimpse, far below, of the crashing finale of a dramatic waterfall, otherwise hidden from view in any sane human posture.",TRAVEL
'Taken 2' Takes Early Weekend Box Office Lead,"Liam Neeson's ""Taken 2"" jumped out to an early lead at the weekend box office, racking up $18.6 million in North American",ENTERTAINMENT
The Meaning of Life in Two Words,The path to lasting happiness is never easy.  It takes mental discipline to turn away from the quick fixes being marketed to the masses. And it takes patience to make emotional investments in the people around you.,WELLNESS
"Neil Patrick Harris, Oscars Host? 'When They Ask Me?' Says NPH","""I am actively anti-campaigning. I don't think it's the big job everyone thinks it is,"" Harris said in an interview with",ENTERTAINMENT
The Best Skin Care Lines to Give Mom on Mother's Day,"Having reviewed thousands of ""natural"" skin care lines, I have found a few that are exceptionally luxurious, ecologically-minded and effective -- at every price point. But let's face it, mom's can be sensitive so all of these have passed the test of yours truly's extremely irritable epidermis.",STYLE & BEAUTY
The Campaign Of Magical Thinking,Seven days on the trail with Ken Baker and Jack Hitt.,UNKNOWN
The Birth of Hope in Royal Form,"This week The Duke and Duchess of Cambridge join millions of parents in the latter phase of parenting, one which will necessitate very active roles in ensuring their child fulfills their personal hopes as well as the hopes of an entire country and world... no small task for certain.",PARENTING
97 Percent Of DC's Prisoners In One Type Of Solitary Confinement Are Black,"Corrections officials say prolonged isolation is a ""grave"" problem and they seek to limit or end it.",POLITICS
"Despite Rising Rates Of Depression, It's Doubtful We'll See New Drugs",Pharmaceutical companies aren't investing in antidepressants research because the risks are too high.,HEALTHY LIVING
5 Tips for Stress-Free Holiday Style,"During the holidays, it's all about parties and get-togethers with friends and family. With all of these events on the horizon, it can be a daunting task to get the right looks.",STYLE & BEAUTY
Net Neutrality Supporters At NYC Verizon Store: 'We Cannot Let Them Have The Net',"“Net neutrality equals democracy,"" said one protester.",POLITICS
"Actor R. Lee Ermey, Who Played Foul-Mouthed Drill Sergeant In 'Full Metal Jacket,' Dead At 74",He was nominated for a Golden Globe as Best Supporting Actor for the role.,ENTERTAINMENT
Jane Krakowski Supports 'Boating Lights' At ACLU Event,"Nah, not voting rights. Boating lights.",ENTERTAINMENT
Paris: Traveling The World Through Instagram,Paris at Sunset Moulin Rouge Montmartre Also follow Laurent Buanec for beautiful Paris buildings under blue skies. Notre,TRAVEL
Empathy Helps Where Sympathy and Tough Love Fall Short,"All the craziness I'd set aside came rushing back -- fear of my own incompetence, suffocating guilt, terrified disbelief -- thinking of the weeks, months and years of monotonous chaos I was in for. Meanwhile, I couldn't imagine getting through even one day.",WELLNESS
Trump's Logic Regarding Confederate Monuments Is Dangerous And Dunderheaded,The president is advocating rosy memorials for former enemies of the state.,POLITICS
We Finally Know Why The Scavengers Speak So Strangely On 'Walking Dead',Executive Producer David Alpert clears things up.,ENTERTAINMENT
The Right to Life (Last Chapter),"People are just living life to death. They are living it up, as it were. The health care system is tanking from keeping a",HEALTHY LIVING
John Legend Upgrades 'Downton Abbey' Theme Song With Honest Lyrics,"""Everyone we know is very white. We don't have one black friend.""",ENTERTAINMENT
Paul Ryan Tries To Act Cool In White House Correspondents' Dinner Video,Retirement -- and boredom -- seem to be weighing heavily on the House speaker.,POLITICS
Christie Brinkley Shows Us How To Ace September Dressing (PHOTOS),"Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr, Pinterest and Instagram at @HuffPostStyle. The",STYLE & BEAUTY
"Kasich Wouldn't Cancel Iran Deal, Would Send Troops To Fight ISIS","Unlike some of his Republican rivals, the Ohio governor suggested that he wouldn't immediately rip up Obama’s agreement with Iran if elected president.",POLITICS
Academy President Defends 'The Birth Of A Nation' Amid Rape Backlash Without Having Seen It,"“That’s one issue, that’s his personal issue.""",ENTERTAINMENT
Elizabeth Warren Calls Out Senate Republicans' Hypocrisy On Trump,Republicans are criticizing Donald Trump while keeping a Supreme Court seat open in hopes he'll become president.,POLITICS
What The World’s Healthiest Diets Have In Common,It's not what you'd think.,WELLNESS
Carly Fiorina Hopes To Turn Debate Momentum Into Votes And Cash,It's a quest that will determine whether her breakthrough moment is a turning point in the Republican primary or simply a footnote.,POLITICS
Biden Administration To Suspend Trump-Era Oil Leases In Arctic Refuge,"Biden had vowed during the campaign to “reverse the Trump administration’s assaults on America’s natural treasures,"" including the Alaska refuge.",POLITICS
Here's A Gross Old Clip Of Billy Bush Asking Jennifer Lopez About Her Butt,"""You did not just ask me that.""",ENTERTAINMENT
Lewandowski Says 'Of Course' He Steamed Trump's Pants While President Wore Them,"""If that’s part of my job as a campaign manager, I do it all.”",POLITICS
Donald Trump Slams Hillary Clinton's 'Sad' Recount In Series Of Tweets,"""So much time and money will be spent - same result! Sad,"" Trump tweeted early Sunday morning.",POLITICS
Exercise During Leisure Time Could Lower Risk Of High Blood Pressure,"The study, conducted by researchers at the Shandong University School of Public Health in China, looked at data from 13 past",WELLNESS
Trump Administration To Expand Groups Of Immigrants To Be Deported: Report,One document suggests anyone in the U.S. illegally is to be considered subject to deportation.,POLITICS
Kelly Brook Sheds Her Playboy Image In A Demure Look (PHOTO),PacificCoastNews WHAT: The British stunner was all smiles in a highwaisted skirt as she walked around north London. The former,ENTERTAINMENT
What You Need To Know Before Watching 'The Defenders' On Netflix,There's a lot to catch up on.,ENTERTAINMENT
Tory Burch For InStyle: New Column Brings Magazine Into Luxury Market,"Tory Burch has been tapped by InStyle to write their ""Ask a designer"" column, Women's Wear Daily reports. Burch will be taking",STYLE & BEAUTY
Cheerleaders Entertain Stranded Passengers At China's Dalian International Airport,"The airport brought in a group of college cheerleaders to perk up passengers, reports ChinaSmack. Sporting matching blue",ENTERTAINMENT
129 Million Reasons Republicans Failed On Health Care,"Before the Heritage Foundation health care plan, first passed into law as “Romneycare” in Massachusetts, and then as the",HEALTH
Khloe Kardashian Channels Priscilla Presley In Insta Pic,nan,ENTERTAINMENT
5 Secret Weapons We Use To Score Cheap Plane Tickets,"When you're booking a trip with a foreign carrier, try booking your ticket in the local currency instead of U.S. dollars.",TRAVEL
Trump Officially Declares Opioid Crisis An Emergency 2 Months After Saying He Would,The president's declaration of a public health emergency falls short of previous indications that he'd declare a national emergency.,HEALTH
"Happy Birthday, ADA!","Expectant mothers risk losing their jobs, their babies or both when employers deny them pregnancy accommodations at work.",PARENTING
Regrets and Your Health,When we let go of regrets we open up space within our being. This space then has the opportunity to bring creative endeavors into our lives. The present moment becomes realized as we release ourselves from the chains of the past.,WELLNESS
How to Get Shoulders Like Ryan Lochte's,"With the Olympics just around the corner, many of us can't wait to witness the triangular, perfectly-defined bodies of swimmers like Michael Phelps and Missy Franklin. But if you don't swim 10,000 meters a day, can you still get Phelps' and Franklin's toned shoulders? Absolutely!",WELLNESS
This 15-Minute Workout Can Make You Faster And Stronger,nan,HEALTHY LIVING
How To Turn Yourself Into A Muppet,Add a fun twist to your kids' playtime by creating your own hilarious muppet character (inspired by the classic characters,ENTERTAINMENT
Nebraska Senator Uses Gore Porn To Argue For Restoring Death Penalty,nan,POLITICS
The Long Term Is Getting Shorter,nan,WELLNESS
So What If Our Child Has 87 Siblings?,"As long as in the end I was a mother, nothing was a game-changer for me. Until a few months back when I saw PBS's ""Donor Unknown.""",PARENTING
Sarah Jessica Parker At Louis Vuitton: Look Of The Day (PHOTOS),"WHO: Star of the upcoming film ""Lovelace"" Sarah Jessica Parker Shop the look below and check out more of our Look Of The",STYLE & BEAUTY
Hanneli Mustaparta Makes Monochromatic Look Easy,WHERE: ACNE Studios New York flagship store opening dinner on June 5th. David X Prutting/BFAnyc.com Shop a similar look below,STYLE & BEAUTY
"Veteran Federal Judge Blasts Ruling That Will Disenfranchise Poor, Black Ohio Voters","Appointed in the apex of the civil rights era, Damon Keith gave his own court a haunting reminder of a history he knows well.",POLITICS
Friends Nancy And Sara Lost Nearly 400 Pounds Together,"How We Gained It: Sara: I struggled with my weight my entire life, even as a child. My parents went through a divorce, and",WELLNESS
Making An America Worthy Of The Dreamers' Dreams,"Being ""great"" means honoring our national promises.",POLITICS
Sacred Sisterhood of Healers!,nan,WELLNESS
Jan. 6 Committee Seeks Interview With GOP Rep. Jim Jordan,It's the second time this week the committee publicly sought to interview a sitting member of Congress.,POLITICS
